,inanimate_story,animate_story,inanimate_subject,animate_subject,pronoun,inanimate_adjective,animate_adjective,correct_adj,action1,action2
136,"The capable piano saw that a fight was about to break out at a baseball game he was officiating. The piano was observing the game from behind third base when he saw a wild pitch thrown. Fortunately, he managed to calm down the batter who was about to harm the pitcher. The piano was [target] and prevented a dangerous situation.","The capable umpire saw that a fight was about to break out at a baseball game he was officiating. The umpire was observing the game from behind third base when he saw a wild pitch thrown. Fortunately, he managed to calm down the batter who was about to harm the pitcher. The umpire was [target] and prevented a dangerous situation.",piano,umpire,he,resonant,diligent,True,saw,observing
137,The evil newspaper was using his army to attack a neighboring kingdom. The newspaper was hoping to finally defeat his long-time enemy. A fierce battle followed and he soon saw that the odds of winning were slim. The newspaper was [target] and was forced to retreat.,The evil warlord was using his army to attack a neighboring kingdom. The warlord was hoping to finally defeat his long-time enemy. A fierce battle followed and he soon saw that the odds of winning were slim. The warlord was [target] and was forced to retreat.,newspaper,warlord,he,printed,beaten,True,using,hoping
138,The famous lilac was desperately looking for a topic for her next novel. The lilac was worried because she had been in a rut for months. Finally she had a good idea and started to write. The lilac was [target] by her work and forgot everything around her.,The famous writer was desperately looking for a topic for her next novel. The writer was worried because she had been in a rut for months. Finally she had a good idea and started to write. The writer was [target] by her work and forgot everything around her.,lilac,writer,she,sprouting,absorbed,True,desperately,worried
139,The bloodthirsty feather always came out of her coffin at night. The feather was hunting for her next human victim. It took a while until she found one to her liking. The feather was [target] by all the villagers of Transylvania.,The bloodthirsty vampiress always came out of her coffin at night. The vampiress was hunting for her next human victim. It took a while until she found one to her liking. The vampiress was [target] by all the villagers of Transylvania.,feather,vampiress,she,plucked,dreaded,True,coffin,hunting
140,"The friendly suit was serving drinks at a party when he saw strangers approaching the doorway. The suit was suspicious that they would crash his party. After unsuccessfully trying to prevent the strangers from entering the house, he called the police. The suit was [target] when he saw them escorted away.","The friendly host was serving drinks at a party when he saw strangers approaching the doorway. The host was suspicious that they would crash his party. After unsuccessfully trying to prevent the strangers from entering the house, he called the police. The host was [target] when he saw them escorted away.",suit,host,he,striped,thankful,True,serving,suspicious
141,The penniless train stole money from the church he belonged to. The train was addicted to gambling and resorted to theft in order to fund his habit. Of course he lost all his money again and then went pickpocketing. The train was [target] and needed to get help.,The penniless priest stole money from the church he belonged to. The priest was addicted to gambling and resorted to theft in order to fund his habit. Of course he lost all his money again and then went pickpocketing. The priest was [target] and needed to get help.,train,priest,he,renovated,troubled,True,stole,addicted
142,"The unmarried carrot was hoping to find the man of her dreams. The carrot was lonely and she decided to join an online dating site. After three uninteresting dates, she met a man she really liked. The carrot was [target] and felt she had finally met her soul-mate.","The unmarried pop-star was hoping to find the man of her dreams. The pop-star was lonely and she decided to join an online dating site. After three uninteresting dates, she met a man she really liked. The pop-star was [target] and felt she had finally met her soul-mate.",carrot,pop-star,she,chopped,joyous,True,hoping,lonely
143,"The talkative journal was known to the patrons of the saloon for her entertaining stories. The journal was describing some comical events she had witnessed at the bar. After getting some big laughs, she returned to her duties. The journal was [target] and she loved her job.","The talkative barmaid was known to the patrons of the saloon for her entertaining stories. The barmaid was describing some comical events she had witnessed at the bar. After getting some big laughs, she returned to her duties. The barmaid was [target] and she loved her job.",journal,barmaid,she,leather-bound,sociable,True,known,describing
144,An energetic weapon was serving drinks aboard a plane when he noticed the smell of smoke. The weapon was alert and he quickly tried to trace where it was coming from. After searching the plane he noticed the smoke was coming out of a bag. The weapon was [target] and put out the fire with an extinguisher.,An energetic steward was serving drinks aboard a plane when he noticed the smell of smoke. The steward was alert and he quickly tried to trace where it was coming from. After searching the plane he noticed the smoke was coming out of a bag. The steward was [target] and put out the fire with an extinguisher.,weapon,steward,he,launched,competent,True,serving,alert
145,"The unforgiving ship collected high taxes on the land he owned. The ship was greedy and threw people out of their homes if they could not pay him. If anyone asked to have more time to pay, he would simply laugh. The ship was [target] and did not care about anyone but himself.","The unforgiving baron collected high taxes on the land he owned. The baron was greedy and threw people out of their homes if they could not pay him. If anyone asked to have more time to pay, he would simply laugh. The baron was [target] and did not care about anyone but himself.",ship,baron,he,afloat,heartless,True,taxes,greedy
146,The caring shower was asked if he could preside over a burial. The shower was willing to administer the burial because it was for his friend. During the ceremony he began to cry. The shower was [target] and he had difficulty getting through the service.,The caring pastor was asked if he could preside over a burial. The pastor was willing to administer the burial because it was for his friend. During the ceremony he began to cry. The pastor was [target] and he had difficulty getting through the service.,shower,pastor,he,re-tiled,weepy,True,asked,willing
147,"The devious heater attempted to seduce a group of men she saw at the market. To accomplish this, the heater flaunted a new dress she bought. However the men did not even notice that she was there. The heater was [target] and upset by the lack of interest.","The devious temptress attempted to seduce a group of men she saw at the market. To accomplish this, the temptress flaunted a new dress she bought. However the men did not even notice that she was there. The temptress was [target] and upset by the lack of interest.",heater,temptress,she,faulty,dismayed,True,attempted,flaunted
148,"The adult bullet was stalking his prey. The bullet was hungry because he had not eaten for a week. Suddenly, he leaped out of the long grass and chased his prey. The bullet was [target] and very eager to eat.","The adult lion was stalking his prey. The lion was hungry because he had not eaten for a week. Suddenly, he leaped out of the long grass and chased his prey. The lion was [target] and very eager to eat.",bullet,lion,he,embedded,famished,True,stalking,hungry
149,A devout cup was in his monastery when he saw a pigeon land on a bench. The cup was curious what the pigeon had in its mouth and he attempted to catch it. The pigeon flew away and a note dropped to the ground as he approached. The cup was [target] when he learned the note was from a marooned sailor on an island.,A devout monk was in his monastery when he saw a pigeon land on a bench. The monk was curious what the pigeon had in its mouth and he attempted to catch it. The pigeon flew away and a note dropped to the ground as he approached. The monk was [target] when he learned the note was from a marooned sailor on an island.,cup,monk,he,inexpensive,astonished,True,monastery,curious
150,The expert four-wheeler was very composed when he was helping a first-time mom give birth. The four-wheeler was very comforting when he noticed the mother was worried things might go wrong. Eventually he reassured the mother with his calm demeanor. The four-wheeler was [target] at his job and came highly recommended.,The expert physician was very composed when he was helping a first-time mom give birth. The physician was very comforting when he noticed the mother was worried things might go wrong. Eventually he reassured the mother with his calm demeanor. The physician was [target] at his job and came highly recommended.,four-wheeler,physician,he,revamped,proficient,True,composed,comforting
151,"The clumsy umbrella loved to dance at almost every party she went to. However, the umbrella was awkward and had trouble keeping balance on her feet. At one particular dance, she fell into a large punch bowl and broke the table it was on. The umbrella was [target] and was drenched head to toe.","The clumsy governess loved to dance at almost every party she went to. However, the governess was awkward and had trouble keeping balance on her feet. At one particular dance, she fell into a large punch bowl and broke the table it was on. The governess was [target] and was drenched head to toe.",umbrella,governess,she,opened,stunned,True,loved,awkward
152,"The adventurous napkin had organized a trip for his friends to observe the ocean’s wild-life. The napkin was telling his friends about his favorite dolphins, but warned that they might be elusive. However, today he was lucky, and was fortunate to see the playful creatures. The napkin was [target] and so were his friends.","The adventurous diver had organized a trip for his friends to observe the ocean’s wild-life. The diver was telling his friends about his favorite dolphins, but warned that they might be elusive. However, today he was lucky, and was fortunate to see the playful creatures. The diver was [target] and so were his friends.",napkin,diver,he,folded,enthralled,True,organized,telling
153,"My friendly pepper loved taking trips to his favorite amusement park. My pepper was riding a rollercoaster when his cart got stuck on the tracks. After hanging upside-down on a loop for several hours, he was rescued by the park staff. My pepper was [target] and bought some cotton candy afterwards to feel better.","My friendly uncle loved taking trips to his favorite amusement park. My uncle was riding a rollercoaster when his cart got stuck on the tracks. After hanging upside-down on a loop for several hours, he was rescued by the park staff. My uncle was [target] and bought some cotton candy afterwards to feel better.",pepper,uncle,he,spicy,panicked,True,loved,riding
154,"A young rifle went for a walk on her expansive estate. The rifle was drowsy so she decided to take a nap under a tree. When she woke up, it was dark and she could hear the sound of wolves nearby. The rifle was [target] and quickly ran home.","A young maiden went for a walk on her expansive estate. The maiden was drowsy so she decided to take a nap under a tree. When she woke up, it was dark and she could hear the sound of wolves nearby. The maiden was [target] and quickly ran home.",rifle,maiden,she,aimed,alarmed,True,walk,drowsy
155,"The visionary candlestick had many ideas for improving the wellbeing of her tribe. The candlestick was careful in considering the safest place for her tribe to relocate. After considering many areas, she found a cove that provided shelter from their many enemies. The candlestick was [target] by her people for her exemplary leadership.","The visionary matriarch had many ideas for improving the wellbeing of her tribe. The matriarch was careful in considering the safest place for her tribe to relocate. After considering many areas, she found a cove that provided shelter from their many enemies. The matriarch was [target] by her people for her exemplary leadership.",candlestick,matriarch,she,scented,revered,True,ideas,careful
156,"My athletic catapult was part of his high school’s track team. My catapult was quick and he recorded the fasted hurdle time in the state. However, at a recent track meet he tripped over a hurdle and was disqualified. My catapult was [target] and took a few months to recover.","My athletic stepbrother was part of his high school’s track team. My stepbrother was quick and he recorded the fasted hurdle time in the state. However, at a recent track meet he tripped over a hurdle and was disqualified. My stepbrother was [target] and took a few months to recover.",catapult,stepbrother,he,misfired,injured,True,school’s,quick
157,"The courageous surfboard was always the first person of his battalion to go into battle. The surfboard was fearless and did not have any regard for his own safety. Almost unavoidably, one day he was shot in the chest. The surfboard was [target] but eager to go back to fight.","The courageous warrior was always the first person of his battalion to go into battle. The warrior was fearless and did not have any regard for his own safety. Almost unavoidably, one day he was shot in the chest. The warrior was [target] but eager to go back to fight.",surfboard,warrior,he,customized,wounded,True,person,fearless
158,"The wealthy teapot loved to wear exotic gowns from her favorite designers. The teapot was delighted when she received an extravagant dress from France. However, at a party she attended, someone spilled a glass of wine on the dress. The teapot was [target] and almost started a fight.","The wealthy baroness loved to wear exotic gowns from her favorite designers. The baroness was delighted when she received an extravagant dress from France. However, at a party she attended, someone spilled a glass of wine on the dress. The baroness was [target] and almost started a fight.",teapot,baroness,she,filled,enraged,True,wear,delighted
159,"My popular toothbrush was nominated to be homecoming queen of her high school. My toothbrush was excited and encouraged her friends to vote for her. However, a nasty rumor got out that she had been rooting for another school’s football team. My toothbrush was [target] and lost the homecoming election.","My popular daughter was nominated to be homecoming queen of her high school. My daughter was excited and encouraged her friends to vote for her. However, a nasty rumor got out that she had been rooting for another school’s football team. My daughter was [target] and lost the homecoming election.",toothbrush,daughter,she,rinsed,disgraced,True,nominated,excited
