noun,human,verb,verb_frequency,verb_category,animate_no_context,inanimate_no_context,animate_context,inanimate_context,experimental,prompt_id,prompt_type
harp,niece,whistled,HIGH-MID,physical,The niece was very,The harp was very,The niece whistled and was very,The harp fell and was very,The harp whistled and was very,2,ADJ
branch,husband,preached,HIGH,psychological,The husband began to,The branch began to,The husband preached and began to,The branch fell and began to,The branch preached and began to,0,VERB
universe,author,meditated,HIGH,psychological,The author began to,The universe began to,The author meditated and began to,The universe fell and began to,The universe meditated and began to,0,VERB
bench,sailor,yawned,HIGH,physical,The sailor began to,The bench began to,The sailor yawned and began to,The bench fell and began to,The bench yawned and began to,0,VERB
kilt,bartender,whispered,HIGH,physical,The bartender became very,The kilt became very,The bartender whispered and became very,The kilt fell and became very,The kilt whispered and became very,3,ADJ
table,woman,exclaimed,HIGH,psychological,The woman started to,The table started to,The woman exclaimed and started to,The table fell and started to,The table exclaimed and started to,1,VERB
cane,administrator,chuckled,HIGH,physical,The administrator began to,The cane began to,The administrator chuckled and began to,The cane fell and began to,The cane chuckled and began to,0,VERB
violin,grandfather,practised,HIGH-MID,psychological,The grandfather began to,The violin began to,The grandfather practised and began to,The violin fell and began to,The violin practised and began to,0,VERB
medallion,gardener,ate,HIGH,physical,The gardener began to,The medallion began to,The gardener ate and began to,The medallion fell and began to,The medallion ate and began to,0,VERB
submarine,uncle,saluted,HIGH,psychological,The uncle became very,The submarine became very,The uncle saluted and became very,The submarine fell and became very,The submarine saluted and became very,3,ADJ
tractor,niece,smiled,HIGH,physical,The niece became very,The tractor became very,The niece smiled and became very,The tractor fell and became very,The tractor smiled and became very,3,ADJ
submarine,uncle,jogged,HIGH-MID,physical,The uncle became very,The submarine became very,The uncle jogged and became very,The submarine fell and became very,The submarine jogged and became very,3,ADJ
vest,cns,dreamed,HIGH,psychological,The cns became very,The vest became very,The cns dreamed and became very,The vest fell and became very,The vest dreamed and became very,3,ADJ
stage,mother,swallowed,HIGH,physical,The mother started to,The stage started to,The mother swallowed and started to,The stage fell and started to,The stage swallowed and started to,1,VERB
tape,girl,listened,HIGH,physical,The girl was very,The tape was very,The girl listened and was very,The tape fell and was very,The tape listened and was very,2,ADJ
quilt,butcher,read,HIGH,psychological,The butcher was very,The quilt was very,The butcher read and was very,The quilt fell and was very,The quilt read and was very,2,ADJ
canoe,change over,groaned,HIGH,psychological,The change over became very,The canoe became very,The change over groaned and became very,The canoe fell and became very,The canoe groaned and became very,3,ADJ
necklace,major general,mourned,HIGH-MID,psychological,The major general became very,The necklace became very,The major general mourned and became very,The necklace fell and became very,The necklace mourned and became very,3,ADJ
trombone,teenager,gasped,HIGH,physical,The teenager began to,The trombone began to,The teenager gasped and began to,The trombone fell and began to,The trombone gasped and began to,0,VERB
envelope,dean,emigrated,HIGH,psychological,The dean became very,The envelope became very,The dean emigrated and became very,The envelope fell and became very,The envelope emigrated and became very,3,ADJ
bag,nephew,shrugged,HIGH,physical,The nephew became very,The bag became very,The nephew shrugged and became very,The bag fell and became very,The bag shrugged and became very,3,ADJ
hose,policeman,searched,HIGH-MID,psychological,The policeman was very,The hose was very,The policeman searched and was very,The hose fell and was very,The hose searched and was very,2,ADJ
boot,reporter,crawled,HIGH-MID,physical,The reporter started to,The boot started to,The reporter crawled and started to,The boot fell and started to,The boot crawled and started to,1,VERB
wagon,cleaner,grinned,HIGH,physical,The cleaner started to,The wagon started to,The cleaner grinned and started to,The wagon fell and started to,The wagon grinned and started to,1,VERB
seed,engineer,exclaimed,HIGH,psychological,The engineer started to,The seed started to,The engineer exclaimed and started to,The seed fell and started to,The seed exclaimed and started to,1,VERB
pie,grandmother,stepped,HIGH,physical,The grandmother started to,The pie started to,The grandmother stepped and started to,The pie fell and started to,The pie stepped and started to,1,VERB
tractor,niece,murmured,HIGH,physical,The niece was very,The tractor was very,The niece murmured and was very,The tractor fell and was very,The tractor murmured and was very,2,ADJ
cart,technician,winced,HIGH,physical,The technician began to,The cart began to,The technician winced and began to,The cart fell and began to,The cart winced and began to,0,VERB
chocolate,grandfather,spoke,HIGH,psychological,The grandfather was very,The chocolate was very,The grandfather spoke and was very,The chocolate fell and was very,The chocolate spoke and was very,2,ADJ
jar,grandson,argued,HIGH-MID,psychological,The grandson became very,The jar became very,The grandson argued and became very,The jar fell and became very,The jar argued and became very,3,ADJ
stand,prime minister,remembered,HIGH,psychological,The prime minister became very,The stand became very,The prime minister remembered and became very,The stand fell and became very,The stand remembered and became very,3,ADJ
medallion,gardener,understood,HIGH,psychological,The gardener became very,The medallion became very,The gardener understood and became very,The medallion fell and became very,The medallion understood and became very,3,ADJ
coin,chairman,chanted,HIGH,psychological,The chairman was very,The coin was very,The chairman chanted and was very,The coin fell and was very,The coin chanted and was very,2,ADJ
instrument,author,worried,HIGH-MID,psychological,The author became very,The instrument became very,The author worried and became very,The instrument fell and became very,The instrument worried and became very,3,ADJ
plank,butcher,drowned,HIGH-MID,physical,The butcher started to,The plank started to,The butcher drowned and started to,The plank fell and started to,The plank drowned and started to,1,VERB
pistol,fisher,fumbled,HIGH,physical,The fisher became very,The pistol became very,The fisher fumbled and became very,The pistol fell and became very,The pistol fumbled and became very,3,ADJ
seed,engineer,misunderstood,HIGH,psychological,The engineer was very,The seed was very,The engineer misunderstood and was very,The seed fell and was very,The seed misunderstood and was very,2,ADJ
tractor,niece,shrieked,HIGH-MID,physical,The niece was very,The tractor was very,The niece shrieked and was very,The tractor fell and was very,The tractor shrieked and was very,2,ADJ
dime,animator,watched,HIGH,physical,The animator started to,The dime started to,The animator watched and started to,The dime fell and started to,The dime watched and started to,1,VERB
sandal,archeologist,interrupted,HIGH-MID,psychological,The archeologist became very,The sandal became very,The archeologist interrupted and became very,The sandal fell and became very,The sandal interrupted and became very,3,ADJ
cape,engineer,misunderstood,HIGH,psychological,The engineer became very,The cape became very,The engineer misunderstood and became very,The cape fell and became very,The cape misunderstood and became very,3,ADJ
horn,uncle,recovered,HIGH-MID,physical,The uncle became very,The horn became very,The uncle recovered and became very,The horn fell and became very,The horn recovered and became very,3,ADJ
brush,scout,yawned,HIGH,physical,The scout was very,The brush was very,The scout yawned and was very,The brush fell and was very,The brush yawned and was very,2,ADJ
chair,architect,grinned,HIGH,physical,The architect was very,The chair was very,The architect grinned and was very,The chair fell and was very,The chair grinned and was very,2,ADJ
tube,judge,commented,HIGH-MID,psychological,The judge started to,The tube started to,The judge commented and started to,The tube fell and started to,The tube commented and started to,1,VERB
newspaper,pilot,gestured,HIGH,physical,The pilot became very,The newspaper became very,The pilot gestured and became very,The newspaper fell and became very,The newspaper gestured and became very,3,ADJ
pie,grandmother,sighed,HIGH,physical,The grandmother became very,The pie became very,The grandmother sighed and became very,The pie fell and became very,The pie sighed and became very,3,ADJ
uniform,agent,pled,HIGH,psychological,The agent became very,The uniform became very,The agent pled and became very,The uniform fell and became very,The uniform pled and became very,3,ADJ
machine,wife,omitted,HIGH,physical,The wife became very,The machine became very,The wife omitted and became very,The machine fell and became very,The machine omitted and became very,3,ADJ
cart,technician,sighed,HIGH,physical,The technician started to,The cart started to,The technician sighed and started to,The cart fell and started to,The cart sighed and started to,1,VERB
wagon,cleaner,cursed,HIGH,psychological,The cleaner was very,The wagon was very,The cleaner cursed and was very,The wagon fell and was very,The wagon cursed and was very,2,ADJ
lens,chairman,agreed,HIGH-MID,psychological,The chairman started to,The lens started to,The chairman agreed and started to,The lens fell and started to,The lens agreed and started to,1,VERB
watch,coach,growled,HIGH,physical,The coach became very,The watch became very,The coach growled and became very,The watch fell and became very,The watch growled and became very,3,ADJ
mine,engineer,noticed,HIGH,psychological,The engineer began to,The mine began to,The engineer noticed and began to,The mine fell and began to,The mine noticed and began to,0,VERB
ferry,lawyer,enquired,HIGH,psychological,The lawyer began to,The ferry began to,The lawyer enquired and began to,The ferry fell and began to,The ferry enquired and began to,0,VERB
horn,uncle,volunteered,HIGH,psychological,The uncle started to,The horn started to,The uncle volunteered and started to,The horn fell and started to,The horn volunteered and started to,1,VERB
truck,painter,flushed,HIGH-MID,physical,The painter was very,The truck was very,The painter flushed and was very,The truck fell and was very,The truck flushed and was very,2,ADJ
napkin,infantryman,screamed,HIGH-MID,physical,The infantryman became very,The napkin became very,The infantryman screamed and became very,The napkin fell and became very,The napkin screamed and became very,3,ADJ
prune,assistant director,moaned,HIGH,psychological,The assistant director started to,The prune started to,The assistant director moaned and started to,The prune fell and started to,The prune moaned and started to,1,VERB
hose,policeman,blinked,HIGH,physical,The policeman began to,The hose began to,The policeman blinked and began to,The hose fell and began to,The hose blinked and began to,0,VERB
television,person,registered,MID,psychological,The person began to,The television began to,The person registered and began to,The television fell and began to,The television registered and began to,0,VERB
chair,architect,practised,HIGH-MID,psychological,The architect was very,The chair was very,The architect practised and was very,The chair fell and was very,The chair practised and was very,2,ADJ
dictionary,priest,begged,HIGH,psychological,The priest began to,The dictionary began to,The priest begged and began to,The dictionary fell and began to,The dictionary begged and began to,0,VERB
clock,judge,retorted,HIGH,psychological,The judge became very,The clock became very,The judge retorted and became very,The clock fell and became very,The clock retorted and became very,3,ADJ
instrument,author,agreed,HIGH-MID,psychological,The author became very,The instrument became very,The author agreed and became very,The instrument fell and became very,The instrument agreed and became very,3,ADJ
blouse,assistant director,jumped,HIGH-MID,physical,The assistant director started to,The blouse started to,The assistant director jumped and started to,The blouse fell and started to,The blouse jumped and started to,1,VERB
flute,consultant,nodded,HIGH,physical,The consultant was very,The flute was very,The consultant nodded and was very,The flute fell and was very,The flute nodded and was very,2,ADJ
wagon,cleaner,screamed,HIGH-MID,physical,The cleaner was very,The wagon was very,The cleaner screamed and was very,The wagon fell and was very,The wagon screamed and was very,2,ADJ
casket,curator,shivered,HIGH,physical,The curator began to,The casket began to,The curator shivered and began to,The casket fell and began to,The casket shivered and began to,0,VERB
rope,grandfather,suspected,HIGH,psychological,The grandfather became very,The rope became very,The grandfather suspected and became very,The rope fell and became very,The rope suspected and became very,3,ADJ
telescope,journalist,graduated,HIGH-MID,psychological,The journalist started to,The telescope started to,The journalist graduated and started to,The telescope fell and started to,The telescope graduated and started to,1,VERB
wagon,cleaner,sniffed,HIGH,physical,The cleaner started to,The wagon started to,The cleaner sniffed and started to,The wagon fell and started to,The wagon sniffed and started to,1,VERB
skull,attorney,voted,MID,psychological,The attorney was very,The skull was very,The attorney voted and was very,The skull fell and was very,The skull voted and was very,2,ADJ
rug,art director,bled,MID,physical,The art director became very,The rug became very,The art director bled and became very,The rug fell and became very,The rug bled and became very,3,ADJ
axe,chemist,practised,HIGH-MID,psychological,The chemist started to,The axe started to,The chemist practised and started to,The axe fell and started to,The axe practised and started to,1,VERB
umbrella,sheriff,waited,HIGH,psychological,The sheriff became very,The umbrella became very,The sheriff waited and became very,The umbrella fell and became very,The umbrella waited and became very,3,ADJ
leaf,chancellor,suspected,HIGH,psychological,The chancellor was very,The leaf was very,The chancellor suspected and was very,The leaf fell and was very,The leaf suspected and was very,2,ADJ
blanket,brigadier,whispered,HIGH,physical,The brigadier started to,The blanket started to,The brigadier whispered and started to,The blanket fell and started to,The blanket whispered and started to,1,VERB
blanket,brigadier,interrupted,HIGH-MID,psychological,The brigadier was very,The blanket was very,The brigadier interrupted and was very,The blanket fell and was very,The blanket interrupted and was very,2,ADJ
trumpet,sailor,cursed,HIGH,psychological,The sailor became very,The trumpet became very,The sailor cursed and became very,The trumpet fell and became very,The trumpet cursed and became very,3,ADJ
van,boy,searched,HIGH-MID,psychological,The boy started to,The van started to,The boy searched and started to,The van fell and started to,The van searched and started to,1,VERB
shawl,assistant director,sighed,HIGH,physical,The assistant director became very,The shawl became very,The assistant director sighed and became very,The shawl fell and became very,The shawl sighed and became very,3,ADJ
plank,butcher,grinned,HIGH,physical,The butcher became very,The plank became very,The butcher grinned and became very,The plank fell and became very,The plank grinned and became very,3,ADJ
spoon,estimator,bellowed,HIGH,physical,The estimator started to,The spoon started to,The estimator bellowed and started to,The spoon fell and started to,The spoon bellowed and started to,1,VERB
brush,scout,agreed,HIGH-MID,psychological,The scout was very,The brush was very,The scout agreed and was very,The brush fell and was very,The brush agreed and was very,2,ADJ
scroll,niece,agreed,HIGH-MID,psychological,The niece began to,The scroll began to,The niece agreed and began to,The scroll fell and began to,The scroll agreed and began to,0,VERB
sleigh,dishwasher,bowed,HIGH-MID,physical,The dishwasher began to,The sleigh began to,The dishwasher bowed and began to,The sleigh fell and began to,The sleigh bowed and began to,0,VERB
trombone,teenager,fumbled,HIGH,physical,The teenager started to,The trombone started to,The teenager fumbled and started to,The trombone fell and started to,The trombone fumbled and started to,1,VERB
lamp,dean,wondered,HIGH,psychological,The dean was very,The lamp was very,The dean wondered and was very,The lamp fell and was very,The lamp wondered and was very,2,ADJ
book,president,drawled,HIGH,physical,The president began to,The book began to,The president drawled and began to,The book fell and began to,The book drawled and began to,0,VERB
dish,scientist,moaned,HIGH,psychological,The scientist became very,The dish became very,The scientist moaned and became very,The dish fell and became very,The dish moaned and became very,3,ADJ
root,husband,fiddled,HIGH,physical,The husband became very,The root became very,The husband fiddled and became very,The root fell and became very,The root fiddled and became very,3,ADJ
ski,grandfather,argued,HIGH-MID,psychological,The grandfather was very,The ski was very,The grandfather argued and was very,The ski fell and was very,The ski argued and was very,2,ADJ
ambulance,grandson,winced,HIGH,physical,The grandson began to,The ambulance began to,The grandson winced and began to,The ambulance fell and began to,The ambulance winced and began to,0,VERB
ship,woman,lamented,HIGH,psychological,The woman started to,The ship started to,The woman lamented and started to,The ship fell and started to,The ship lamented and started to,1,VERB
tripod,laborer,fought,HIGH-MID,psychological,The laborer was very,The tripod was very,The laborer fought and was very,The tripod fell and was very,The tripod fought and was very,2,ADJ
necklace,major general,paid,HIGH-MID,psychological,The major general began to,The necklace began to,The major general paid and began to,The necklace fell and began to,The necklace paid and began to,0,VERB
saxophone,announcer,ate,HIGH,physical,The announcer was very,The saxophone was very,The announcer ate and was very,The saxophone fell and was very,The saxophone ate and was very,2,ADJ
glass,author,chose,HIGH,psychological,The author became very,The glass became very,The author chose and became very,The glass fell and became very,The glass chose and became very,3,ADJ
road,wife,scowled,HIGH,psychological,The wife began to,The road began to,The wife scowled and began to,The road fell and began to,The road scowled and began to,0,VERB
sleigh,dishwasher,paced,HIGH,physical,The dishwasher started to,The sleigh started to,The dishwasher paced and started to,The sleigh fell and started to,The sleigh paced and started to,1,VERB
fiddle,auditor,protested,HIGH,psychological,The auditor began to,The fiddle began to,The auditor protested and began to,The fiddle fell and began to,The fiddle protested and began to,0,VERB
bow,chairman,pondered,HIGH,psychological,The chairman was very,The bow was very,The chairman pondered and was very,The bow fell and was very,The bow pondered and was very,2,ADJ
horn,uncle,disagreed,HIGH-MID,psychological,The uncle began to,The horn began to,The uncle disagreed and began to,The horn fell and began to,The horn disagreed and began to,0,VERB
ticket,associate,listened,HIGH,physical,The associate became very,The ticket became very,The associate listened and became very,The ticket fell and became very,The ticket listened and became very,3,ADJ
violin,grandfather,fled,HIGH-MID,physical,The grandfather became very,The violin became very,The grandfather fled and became very,The violin fell and became very,The violin fled and became very,3,ADJ
street,wife,clapped,HIGH,physical,The wife became very,The street became very,The wife clapped and became very,The street fell and became very,The street clapped and became very,3,ADJ
sketch,cousin,fumbled,HIGH,physical,The cousin began to,The sketch began to,The cousin fumbled and began to,The sketch fell and began to,The sketch fumbled and began to,0,VERB
trumpet,sailor,crouched,HIGH,physical,The sailor began to,The trumpet began to,The sailor crouched and began to,The trumpet fell and began to,The trumpet crouched and began to,0,VERB
basket,researcher,sighed,HIGH,physical,The researcher began to,The basket began to,The researcher sighed and began to,The basket fell and began to,The basket sighed and began to,0,VERB
bottle,grandfather,fainted,HIGH,physical,The grandfather was very,The bottle was very,The grandfather fainted and was very,The bottle fell and was very,The bottle fainted and was very,2,ADJ
record,person,ate,HIGH,physical,The person became very,The record became very,The person ate and became very,The record fell and became very,The record ate and became very,3,ADJ
arrow,painter,ducked,HIGH,physical,The painter became very,The arrow became very,The painter ducked and became very,The arrow fell and became very,The arrow ducked and became very,3,ADJ
flask,accountant,drank,HIGH,physical,The accountant was very,The flask was very,The accountant drank and was very,The flask fell and was very,The flask drank and was very,2,ADJ
saxophone,announcer,laughed,HIGH,physical,The announcer became very,The saxophone became very,The announcer laughed and became very,The saxophone fell and became very,The saxophone laughed and became very,3,ADJ
ticket,associate,meditated,HIGH,psychological,The associate was very,The ticket was very,The associate meditated and was very,The ticket fell and was very,The ticket meditated and was very,2,ADJ
bag,nephew,walked,HIGH,physical,The nephew started to,The bag started to,The nephew walked and started to,The bag fell and started to,The bag walked and started to,1,VERB
pen,attorney,jumped,HIGH-MID,physical,The attorney began to,The pen began to,The attorney jumped and began to,The pen fell and began to,The pen jumped and began to,0,VERB
note,wife,objected,HIGH-MID,psychological,The wife began to,The note began to,The wife objected and began to,The note fell and began to,The note objected and began to,0,VERB
missile,producer,sneered,HIGH,psychological,The producer started to,The missile started to,The producer sneered and started to,The missile fell and started to,The missile sneered and started to,1,VERB
horn,uncle,forgot,HIGH,psychological,The uncle started to,The horn started to,The uncle forgot and started to,The horn fell and started to,The horn forgot and started to,1,VERB
cane,administrator,gestured,HIGH,physical,The administrator became very,The cane became very,The administrator gestured and became very,The cane fell and became very,The cane gestured and became very,3,ADJ
satchel,associate professor,leaned,HIGH,physical,The associate professor became very,The satchel became very,The associate professor leaned and became very,The satchel fell and became very,The satchel leaned and became very,3,ADJ
prune,assistant director,volunteered,HIGH,psychological,The assistant director became very,The prune became very,The assistant director volunteered and became very,The prune fell and became very,The prune volunteered and became very,3,ADJ
pen,attorney,enlisted,HIGH-MID,psychological,The attorney became very,The pen became very,The attorney enlisted and became very,The pen fell and became very,The pen enlisted and became very,3,ADJ
whistle,sailor,nodded,HIGH,physical,The sailor became very,The whistle became very,The sailor nodded and became very,The whistle fell and became very,The whistle nodded and became very,3,ADJ
jacket,grandmother,enlisted,HIGH-MID,psychological,The grandmother was very,The jacket was very,The grandmother enlisted and was very,The jacket fell and was very,The jacket enlisted and was very,2,ADJ
pendulum,clerk,sighed,HIGH,physical,The clerk began to,The pendulum began to,The clerk sighed and began to,The pendulum fell and began to,The pendulum sighed and began to,0,VERB
costume,grandfather,sighed,HIGH,physical,The grandfather began to,The costume began to,The grandfather sighed and began to,The costume fell and began to,The costume sighed and began to,0,VERB
button,baker,rushed,HIGH-MID,psychological,The baker became very,The button became very,The baker rushed and became very,The button fell and became very,The button rushed and became very,3,ADJ
map,author,fiddled,HIGH,physical,The author began to,The map began to,The author fiddled and began to,The map fell and began to,The map fiddled and began to,0,VERB
map,author,muttered,HIGH,physical,The author began to,The map began to,The author muttered and began to,The map fell and began to,The map muttered and began to,0,VERB
umbrella,sheriff,yelled,HIGH,physical,The sheriff was very,The umbrella was very,The sheriff yelled and was very,The umbrella fell and was very,The umbrella yelled and was very,2,ADJ
wire,partner,argued,HIGH-MID,psychological,The partner started to,The wire started to,The partner argued and started to,The wire fell and started to,The wire argued and started to,1,VERB
dish,scientist,listened,HIGH,physical,The scientist became very,The dish became very,The scientist listened and became very,The dish fell and became very,The dish listened and became very,3,ADJ
coin,chairman,stammered,HIGH,physical,The chairman started to,The coin started to,The chairman stammered and started to,The coin fell and started to,The coin stammered and started to,1,VERB
spoon,estimator,crouched,HIGH,physical,The estimator was very,The spoon was very,The estimator crouched and was very,The spoon fell and was very,The spoon crouched and was very,2,ADJ
sculpture,founder,worried,HIGH-MID,psychological,The founder was very,The sculpture was very,The founder worried and was very,The sculpture fell and was very,The sculpture worried and was very,2,ADJ
skull,attorney,practised,HIGH-MID,psychological,The attorney began to,The skull began to,The attorney practised and began to,The skull fell and began to,The skull practised and began to,0,VERB
ferry,lawyer,flushed,HIGH-MID,physical,The lawyer began to,The ferry began to,The lawyer flushed and began to,The ferry fell and began to,The ferry flushed and began to,0,VERB
cannon,chancellor,snorted,HIGH,physical,The chancellor was very,The cannon was very,The chancellor snorted and was very,The cannon fell and was very,The cannon snorted and was very,2,ADJ
tray,executive officer,visited,HIGH,psychological,The executive officer began to,The tray began to,The executive officer visited and began to,The tray fell and began to,The tray visited and began to,0,VERB
suit,judge,preached,HIGH,psychological,The judge was very,The suit was very,The judge preached and was very,The suit fell and was very,The suit preached and was very,2,ADJ
suit,judge,visited,HIGH,psychological,The judge started to,The suit started to,The judge visited and started to,The suit fell and started to,The suit visited and started to,1,VERB
corpse,clerk,enquired,HIGH,psychological,The clerk began to,The corpse began to,The clerk enquired and began to,The corpse fell and began to,The corpse enquired and began to,0,VERB
bottle,grandfather,walked,HIGH,physical,The grandfather became very,The bottle became very,The grandfather walked and became very,The bottle fell and became very,The bottle walked and became very,3,ADJ
coffin,researcher,conceded,HIGH-MID,psychological,The researcher was very,The coffin was very,The researcher conceded and was very,The coffin fell and was very,The coffin conceded and was very,2,ADJ
canoe,change over,laughed,HIGH,physical,The change over began to,The canoe began to,The change over laughed and began to,The canoe fell and began to,The canoe laughed and began to,0,VERB
submarine,uncle,glared,HIGH,physical,The uncle began to,The submarine began to,The uncle glared and began to,The submarine fell and began to,The submarine glared and began to,0,VERB
dime,animator,swam,MID,physical,The animator began to,The dime began to,The animator swam and began to,The dime fell and began to,The dime swam and began to,0,VERB
gown,executive officer,spoke,HIGH,psychological,The executive officer started to,The gown started to,The executive officer spoke and started to,The gown fell and started to,The gown spoke and started to,1,VERB
bouquet,arbitrator,mourned,HIGH-MID,psychological,The arbitrator became very,The bouquet became very,The arbitrator mourned and became very,The bouquet fell and became very,The bouquet mourned and became very,3,ADJ
book,president,walked,HIGH,physical,The president was very,The book was very,The president walked and was very,The book fell and was very,The book walked and was very,2,ADJ
pistol,fisher,watched,HIGH,physical,The fisher started to,The pistol started to,The fisher watched and started to,The pistol fell and started to,The pistol watched and started to,1,VERB
axe,chemist,consented,HIGH-MID,psychological,The chemist was very,The axe was very,The chemist consented and was very,The axe fell and was very,The axe consented and was very,2,ADJ
lamp,dean,painted,HIGH-MID,physical,The dean was very,The lamp was very,The dean painted and was very,The lamp fell and was very,The lamp painted and was very,2,ADJ
rifle,founder,paced,HIGH,physical,The founder became very,The rifle became very,The founder paced and became very,The rifle fell and became very,The rifle paced and became very,3,ADJ
oven,pastor,wailed,HIGH,physical,The pastor was very,The oven was very,The pastor wailed and was very,The oven fell and was very,The oven wailed and was very,2,ADJ
harp,niece,whispered,HIGH,physical,The niece was very,The harp was very,The niece whispered and was very,The harp fell and was very,The harp whispered and was very,2,ADJ
telescope,journalist,agreed,HIGH-MID,psychological,The journalist began to,The telescope began to,The journalist agreed and began to,The telescope fell and began to,The telescope agreed and began to,0,VERB
oar,swimmer,laughed,HIGH,physical,The swimmer was very,The oar was very,The swimmer laughed and was very,The oar fell and was very,The oar laughed and was very,2,ADJ
thorn,broker,knelt,HIGH,physical,The broker was very,The thorn was very,The broker knelt and was very,The thorn fell and was very,The thorn knelt and was very,2,ADJ
clarinet,barber,coughed,HIGH,physical,The barber started to,The clarinet started to,The barber coughed and started to,The clarinet fell and started to,The clarinet coughed and started to,1,VERB
jacket,grandmother,watched,HIGH,physical,The grandmother became very,The jacket became very,The grandmother watched and became very,The jacket fell and became very,The jacket watched and became very,3,ADJ
automobile,nephew,knelt,HIGH,physical,The nephew became very,The automobile became very,The nephew knelt and became very,The automobile fell and became very,The automobile knelt and became very,3,ADJ
antenna,uncle,stared,HIGH,physical,The uncle began to,The antenna began to,The uncle stared and began to,The antenna fell and began to,The antenna stared and began to,0,VERB
newspaper,pilot,wailed,HIGH,physical,The pilot started to,The newspaper started to,The pilot wailed and started to,The newspaper fell and started to,The newspaper wailed and started to,1,VERB
appliance,mover,drawled,HIGH,physical,The mover began to,The appliance began to,The mover drawled and began to,The appliance fell and began to,The appliance drawled and began to,0,VERB
scissors,broker,suspected,HIGH,psychological,The broker began to,The scissors began to,The broker suspected and began to,The scissors fell and began to,The scissors suspected and began to,0,VERB
chocolate,grandfather,swam,MID,physical,The grandfather was very,The chocolate was very,The grandfather swam and was very,The chocolate fell and was very,The chocolate swam and was very,2,ADJ
button,baker,exclaimed,HIGH,psychological,The baker began to,The button began to,The baker exclaimed and began to,The button fell and began to,The button exclaimed and began to,0,VERB
necklace,major general,sobbed,HIGH,physical,The major general started to,The necklace started to,The major general sobbed and started to,The necklace fell and started to,The necklace sobbed and started to,1,VERB
book,president,paced,HIGH,physical,The president was very,The book was very,The president paced and was very,The book fell and was very,The book paced and was very,2,ADJ
truck,painter,stammered,HIGH,physical,The painter was very,The truck was very,The painter stammered and was very,The truck fell and was very,The truck stammered and was very,2,ADJ
bouquet,arbitrator,consented,HIGH-MID,psychological,The arbitrator started to,The bouquet started to,The arbitrator consented and started to,The bouquet fell and started to,The bouquet consented and started to,1,VERB
corpse,clerk,snorted,HIGH,physical,The clerk began to,The corpse began to,The clerk snorted and began to,The corpse fell and began to,The corpse snorted and began to,0,VERB
truck,painter,snorted,HIGH,physical,The painter began to,The truck began to,The painter snorted and began to,The truck fell and began to,The truck snorted and began to,0,VERB
desk,mathematician,drowned,HIGH-MID,physical,The mathematician became very,The desk became very,The mathematician drowned and became very,The desk fell and became very,The desk drowned and became very,3,ADJ
coin,chairman,flushed,HIGH-MID,physical,The chairman was very,The coin was very,The chairman flushed and was very,The coin fell and was very,The coin flushed and was very,2,ADJ
wallet,associate professor,laughed,HIGH,physical,The associate professor became very,The wallet became very,The associate professor laughed and became very,The wallet fell and became very,The wallet laughed and became very,3,ADJ
envelope,dean,jumped,HIGH-MID,physical,The dean started to,The envelope started to,The dean jumped and started to,The envelope fell and started to,The envelope jumped and started to,1,VERB
table,woman,bathed,HIGH-MID,physical,The woman was very,The table was very,The woman bathed and was very,The table fell and was very,The table bathed and was very,2,ADJ
trombone,teenager,wondered,HIGH,psychological,The teenager became very,The trombone became very,The teenager wondered and became very,The trombone fell and became very,The trombone wondered and became very,3,ADJ
overcoat,infantryman,meditated,HIGH,psychological,The infantryman began to,The overcoat began to,The infantryman meditated and began to,The overcoat fell and began to,The overcoat meditated and began to,0,VERB
television,person,applauded,HIGH-MID,psychological,The person began to,The television began to,The person applauded and began to,The television fell and began to,The television applauded and began to,0,VERB
helmet,vice president,sniffed,HIGH,physical,The vice president was very,The helmet was very,The vice president sniffed and was very,The helmet fell and was very,The helmet sniffed and was very,2,ADJ
boat,pilot,stole,HIGH-MID,psychological,The pilot started to,The boat started to,The pilot stole and started to,The boat fell and started to,The boat stole and started to,1,VERB
bell,secretary,struggled,HIGH-MID,psychological,The secretary was very,The bell was very,The secretary struggled and was very,The bell fell and was very,The bell struggled and was very,2,ADJ
ion,assistant,groaned,HIGH,psychological,The assistant started to,The ion started to,The assistant groaned and started to,The ion fell and started to,The ion groaned and started to,1,VERB
dish,scientist,bathed,HIGH-MID,physical,The scientist began to,The dish began to,The scientist bathed and began to,The dish fell and began to,The dish bathed and began to,0,VERB
chisel,chief executive officer,murmured,HIGH,physical,The chief executive officer began to,The chisel began to,The chief executive officer murmured and began to,The chisel fell and began to,The chisel murmured and began to,0,VERB
flute,consultant,learnt,HIGH,psychological,The consultant became very,The flute became very,The consultant learnt and became very,The flute fell and became very,The flute learnt and became very,3,ADJ
keg,arbitrator,mumbled,HIGH,physical,The arbitrator became very,The keg became very,The arbitrator mumbled and became very,The keg fell and became very,The keg mumbled and became very,3,ADJ
chisel,chief executive officer,argued,HIGH-MID,psychological,The chief executive officer was very,The chisel was very,The chief executive officer argued and was very,The chisel fell and was very,The chisel argued and was very,2,ADJ
ambulance,grandson,fumbled,HIGH,physical,The grandson became very,The ambulance became very,The grandson fumbled and became very,The ambulance fell and became very,The ambulance fumbled and became very,3,ADJ
disc,operator,jogged,HIGH-MID,physical,The operator began to,The disc began to,The operator jogged and began to,The disc fell and began to,The disc jogged and began to,0,VERB
